teamID,teamName,gamesPlayed,wins,losses,scoresFor,scoresAgainst,opponentCompletions,opponentTurnovers,opponentBlocks,opponentHolds,opponentBreaks
spiders,Spiders,17,0.94,0.06,27.94,20.00,276.94,28.65,10.24,15.59,3.35
rush,Rush,17,0.88,0.12,26.41,17.76,234.06,31.59,9.18,13.18,4.59
radicals,Radicals,16,0.81,0.19,23.94,15.63,266.06,29.75,10.25,12.44,3.19
flamethrowers,FlameThrowers,15,0.73,0.27,23.80,19.67,244.27,33.40,13.67,13.60,6.00
empire,Empire,16,0.69,0.31,22.31,17.56,260.69,28.75,10.88,12.31,5.25
breeze,Breeze,15,0.67,0.33,23.13,22.93,280.27,25.93,11.13,14.73,8.13
alleycats,AlleyCats,15,0.60,0.40,21.87,21.60,253.67,26.33,14.40,15.13,6.47
union,Union,15,0.60,0.40,21.60,17.67,227.60,27.87,13.20,12.93,4.73
riptide,Riptide,14,0.57,0.43,25.50,22.57,244.71,31.93,13.71,15.43,7.07
windchill,Wind Chill,14,0.57,0.43,24.36,21.57,230.86,24.93,10.57,14.36,5.93
royal,Royal,14,0.43,0.57,21.14,21.71,263.86,24.79,13.64,13.64,8.07
revolution,Revolution,14,0.29,0.71,18.43,23.71,243.79,23.79,16.86,14.21,9.50
cascades,Cascades,14,0.21,0.79,19.79,21.14,226.71,28.00,13.50,12.07,8.14
phoenix,Phoenix,14,0.14,0.86,17.79,24.14,230.93,22.57,15.50,14.00,10.21
dragons,Dragons,14,0.07,0.93,16.07,25.64,258.57,24.21,18.43,13.29,12.36
lions,Lions,14,0.00,1.00,16.00,30.71,175.00,26.57,18.07,12.50,18.21
mechanix,Mechanix,14,0.00,1.00,15.50,27.57,232.64,25.57,21.14,13.29,14.29
