teamID,teamName,gamesPlayed,wins,losses,scoresFor,scoresAgainst,opponentCompletions,opponentTurnovers,opponentBlocks,opponentHolds,opponentBreaks
radicals,Radicals,17,0.88,0.12,25.06,17.29,332.00,28.24,10.53,13.65,3.65
rush,Rush,16,0.88,0.13,28.44,19.88,216.00,31.69,8.25,15.63,4.25
thunderbirds,Thunderbirds,16,0.81,0.19,28.44,21.31,274.75,26.81,10.25,16.13,3.75
spiders,Spiders,17,0.76,0.24,24.00,21.94,263.47,25.53,11.41,16.53,5.41
empire,Empire,16,0.75,0.25,22.00,17.81,241.81,28.31,13.69,12.19,5.63
flyers,Flyers,16,0.75,0.25,26.56,23.00,274.81,28.06,10.75,16.81,6.19
hustle,Hustle,14,0.71,0.29,25.21,22.00,246.29,26.43,10.14,16.43,5.57
cannons,Cannons,15,0.67,0.33,24.53,22.60,264.93,24.87,13.40,16.87,5.73
royal,Royal,15,0.60,0.40,22.53,22.73,274.40,28.13,13.53,14.80,7.93
cascades,Cascades,16,0.56,0.44,24.69,22.19,271.94,24.63,8.56,16.25,5.94
flamethrowers,FlameThrowers,15,0.53,0.47,22.40,21.67,249.87,26.47,13.40,14.33,7.33
union,Union,15,0.53,0.40,21.73,17.80,202.13,30.07,13.87,12.80,5.00
alleycats,AlleyCats,14,0.50,0.50,24.29,21.86,294.50,25.71,11.43,15.50,6.36
breeze,Breeze,14,0.50,0.50,21.57,22.57,260.36,26.50,13.43,14.07,8.50
growlers,Growlers,14,0.50,0.50,22.43,23.43,264.14,21.43,9.93,15.86,7.57
outlaws,Outlaws,14,0.50,0.50,23.29,22.36,203.07,27.07,13.14,15.57,6.79
windchill,Wind Chill,14,0.43,0.50,20.86,21.64,239.00,31.36,15.57,12.64,9.00
aviators,Aviators,14,0.36,0.64,20.71,22.71,232.43,22.43,12.71,14.50,8.21
riptide,Riptide,14,0.29,0.71,24.21,26.86,234.50,21.50,12.29,18.64,8.21
express,Express,14,0.14,0.86,19.36,24.71,252.00,21.07,12.86,14.71,10.00
nightwatch,Nightwatch,14,0.14,0.86,20.36,24.57,241.50,25.07,15.43,16.21,8.36
revolution,Revolution,14,0.14,0.86,18.29,26.57,277.36,24.29,16.71,15.29,11.36
dragons,Dragons,14,0.07,0.93,18.21,26.50,193.50,23.71,15.00,14.43,12.07
phoenix,Phoenix,14,0.07,0.93,18.36,24.71,272.14,23.93,15.36,13.79,10.93
mechanix,Mechanix,14,0.00,1.00,16.64,31.71,229.64,18.50,17.64,14.36,15.86
