teamID,teamName,gamesPlayed,wins,losses,scoresFor,scoresAgainst,opponentCompletions,opponentTurnovers,opponentBlocks,opponentHolds,opponentBreaks
legion,Legion,17,0.88,0.12,24.12,21.00,211.35,28.12,12.41,16.35,4.65
radicals,Radicals,17,0.88,0.12,24.65,17.82,327.65,24.35,8.18,14.41,3.41
rush,Rush,15,0.87,0.13,24.47,19.07,253.80,29.27,11.07,14.40,4.67
alleycats,AlleyCats,16,0.75,0.25,24.06,20.31,253.25,27.44,11.31,16.38,3.88
aviators,Aviators,16,0.75,0.25,25.13,22.19,289.44,24.88,10.38,16.44,5.75
flyers,Flyers,16,0.69,0.31,24.56,20.94,262.44,22.38,9.19,15.69,5.25
empire,Empire,17,0.59,0.41,22.88,21.76,254.82,21.00,11.29,15.82,5.94
breeze,Breeze,15,0.53,0.40,22.87,21.60,246.27,25.13,12.20,15.47,6.13
windchill,Wind Chill,15,0.53,0.47,25.53,22.87,238.87,25.47,11.53,17.67,5.20
hustle,Hustle,14,0.50,0.50,22.57,22.71,336.86,17.00,9.07,16.43,6.21
growlers,Growlers,15,0.47,0.53,23.73,23.47,268.27,22.00,11.67,16.53,6.93
royal,Royal,14,0.43,0.57,22.50,24.71,249.07,25.00,14.36,16.50,8.21
spiders,Spiders,14,0.43,0.57,23.14,24.00,234.14,26.36,14.43,17.14,6.86
sol,Sol,15,0.40,0.60,21.33,23.13,247.53,21.47,14.13,15.73,7.53
cascades,Cascades,14,0.36,0.64,24.07,25.79,287.57,24.57,12.57,19.00,6.71
flamethrowers,FlameThrowers,14,0.36,0.64,23.00,25.36,260.29,24.43,14.36,18.71,6.64
phoenix,Phoenix,14,0.36,0.57,20.93,22.71,226.93,25.50,13.00,15.71,7.00
union,Union,14,0.36,0.64,22.79,22.07,276.64,22.29,9.93,16.79,5.29
cannons,Cannons,14,0.29,0.71,20.71,21.36,227.29,17.36,10.29,14.50,6.57
thunderbirds,Thunderbirds,14,0.29,0.71,19.71,23.71,274.57,22.21,16.21,15.07,10.21
nightwatch,Nightwatch,14,0.21,0.79,21.57,26.14,300.21,21.43,14.00,17.64,8.36
outlaws,Outlaws,14,0.21,0.79,22.93,25.50,253.36,24.79,14.36,16.86,8.64
mechanix,Mechanix,14,0.00,1.00,16.79,30.21,222.93,24.29,19.93,15.00,15.21
