teamID,teamName,gamesPlayed,wins,losses,scoresFor,scoresAgainst,opponentCompletions,opponentTurnovers,opponentBlocks,opponentHolds,opponentBreaks,opponentHuckCompletions,opponentHuckTurnovers
empire,Empire,9,1.00,0.00,24.00,16.67,220.56,20.78,7.67,14.00,2.56,4.78,4.89
summit,Summit,8,1.00,0.00,23.63,19.25,247.88,22.00,8.38,16.00,3.25,9.13,7.63
union,Union,6,1.00,0.00,23.50,19.00,243.83,23.83,9.83,15.17,3.83,7.17,6.33
flyers,Flyers,9,0.89,0.11,22.22,17.33,244.44,18.22,6.56,15.11,2.22,7.56,3.22
windchill,Wind Chill,6,0.83,0.17,21.67,15.33,247.50,27.00,8.50,11.50,3.83,6.00,5.50
shred,Shred,7,0.71,0.29,24.86,21.43,234.00,22.29,9.00,16.29,5.00,9.29,6.00
breeze,Breeze,6,0.67,0.33,24.17,21.00,249.00,16.67,8.17,17.00,4.00,5.67,3.83
hustle,Hustle,6,0.67,0.33,20.50,17.50,262.00,18.67,6.33,13.50,3.83,9.00,6.00
growlers,Growlers,8,0.63,0.38,20.38,20.50,235.63,20.88,9.50,15.75,4.75,8.38,4.50
sol,Sol,8,0.63,0.38,22.00,21.13,214.38,16.50,7.63,16.00,5.00,10.25,4.50
alleycats,AlleyCats,7,0.57,0.43,23.71,21.43,281.00,16.71,6.86,15.57,5.86,7.86,5.43
phoenix,Phoenix,7,0.57,0.43,20.00,18.71,226.57,22.29,11.00,14.71,3.86,6.29,6.29
radicals,Radicals,8,0.50,0.50,19.25,19.63,294.88,19.25,9.75,14.13,5.38,5.25,4.38
royal,Royal,8,0.50,0.50,19.63,20.38,242.75,19.75,12.25,14.38,5.88,8.25,5.38
aviators,Aviators,7,0.43,0.57,18.43,20.57,249.57,18.57,11.86,15.57,5.00,8.43,3.71
spiders,Spiders,8,0.38,0.63,22.13,22.75,223.00,21.50,11.63,16.50,6.25,7.00,4.50
thunderbirds,Thunderbirds,8,0.38,0.63,17.25,18.75,218.25,21.25,10.75,11.88,6.50,6.25,5.38
glory,Glory,9,0.33,0.67,20.78,21.56,259.44,18.78,10.11,16.22,5.33,7.00,3.22
rush,Rush,10,0.30,0.70,18.80,24.50,242.10,14.40,11.20,15.90,8.50,9.70,4.20
nitro,Nitro,8,0.25,0.75,21.38,23.75,291.25,19.50,11.75,16.38,7.25,8.00,5.38
cascades,Cascades,10,0.20,0.80,19.80,21.70,245.30,21.00,11.20,15.50,6.20,6.80,4.60
outlaws,Outlaws,7,0.14,0.86,20.14,23.57,238.86,17.86,10.71,16.43,6.86,10.86,5.71
cannons,Cannons,7,0.00,1.00,15.86,22.14,214.86,16.29,11.71,13.14,8.86,8.86,3.71
legion,Legion,6,0.00,1.00,16.83,23.17,248.33,15.83,12.17,14.17,9.00,7.17,6.17
mechanix,Mechanix,7,0.00,1.00,18.71,26.29,224.57,16.14,13.86,16.86,9.29,8.43,3.29
