prompt,function_type,score
Prendre des repas reguliers,kinesthésique/physique,
Favoriser une alinmentation saine,kinesthésique/physique,
Faire de l’exercice régulièrement,kinesthésique/physique,
Faire des étirements,kinesthésique/physique,
Écouter mon corps,kinesthésique/physique,
Prendre congé lorsque je suis malade,kinesthésique/physique,
Faire une activité physique plaisante,kinesthésique/physique,
Prendre le temps d’être sexuelle,kinesthésique/physique,
Avoir une bonne hygiène de sommeil,kinesthésique/physique,
Danser,kinesthésique/physique,
Être en action,kinesthésique/physique,
Voir avec l’oeil d’une autre personne,perceptif/relationnel,
Faire des activités régulièrement,perceptif/relationnel,
Organiser mon espace,perceptif/relationnel,
"Appeler, contacter, voir ma parenté",perceptif/relationnel,
Passer du temps entre bonne compagnie,perceptif/relationnel,
S’adonner à des routines relaxantes,perceptif/relationnel,
Créer un foyer confortable et apaisant,perceptif/relationnel,
Laisser les autres me dorloter,perceptif/relationnel,
Fixer des limites aux autres (boundaries),perceptif/relationnel,
Demander de l’aide au besoin,perceptif/relationnel,
Entreprendre une activité en art,perceptif/relationnel,
Méditer pour réduire le stress,perceptif/relationnel,
Porter des vêtements confortables,sensoriel,
Emplyer un arôme apaisant,sensoriel,
Profiter de repas relaxants,sensoriel,
Apprécier la beauté naturelle,sensoriel,
Recevoir un massage,sensoriel,
Offrir ou demander un câlin,sensoriel,
"Manger des aliments frais, locaux et savoureux",sensoriel,
Employer de la couleur pour apaiser l’esprit,sensoriel,
Apprécier la musique,sensoriel,
Savourer le son du silence,sensoriel,
Créer ou apprécier l’art,sensoriel,
S’exprimer par l’art: adoucir l’émotion,émotionnel,
Dire affirmations: se rendre hommage,émotionnel,
Partager ses émotions avec quelqu’un,émotionnel,
Redécouvrir les libres ou films favoris,émotionnel,
Identifier des activités réconfortanates,émotionnel,
Rechercher des gens réconfortants,émotionnel,
Autoriser les larmes,émotionnel,
Trouver ce qui me fait rire,émotionnel,
Exprimer mes émotions en société,émotionnel,
Partager une crainte ou un secret avec une personne de confiance,émotionnel,
Se laisser sauter de joie,émotionnel,
Reformuler une croyance dépassée,cognitif,
Prendre du temps loin de l’électronique,cognitif,
Penser positif,cognitif,
Entreprendre une thérapie personnelle,cognitif,
Écrire mon journal,cognitif,
Avoir des lectures non liées au travail,cognitif,
Aborder un domaine ou je ne suis pas expert,cognitif,
Développer une nouvelle habileté artistique,cognitif,
Changer mes idées sur le stress dans ma vie,cognitif,
Investir sur mon intelligence dans un nouveau domaine,cognitif,
Être curieux ,cognitif,
Dire non à des responsabilités supplémentaires,cognitif,
Prendre du temps pour faire une autoréflexion,symbolique,
Favoriser une connexion spirituelle,symbolique,
Apprécier l’art dans un musée,symbolique,
S’ouvrir à l’inspiration,symbolique,
M’occuper de mes rêves,symbolique,
Apprécier les aspects non matériels de la vie,symbolique,
Lire ou écrire de la poésie,symbolique,
Identifier ce qui a de l’importance pour moi,symbolique,
Méditer,symbolique,
Prier,symbolique,
Chanter,symbolique,
Éprouver de l’émerveillement,symbolique,
Lire ou écrire des récits mythiques,symbolique,
Lire ou écouter de la littérature inspirante,symbolique,
