Sigle,Titre,Credit,url,Prerequisites
BCM 2003,Application d'outils bio-informatiques,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/bcm-2003/,BCM2502 ou BIO1101
BIN 1002,Intégration biosciences et informatique,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/bin-1002/,
BIN 3002,Intégration biosciences et informatique 2,4.0,https://admission.umontreal.ca/cours-et-horaires/cours/bin-3002/,BCM2502 ET IFT2015 et (BIO2041 ou MAT1978 ou STT1700)
BIN 3005,Stage en laboratoire de recherche,6.0,https://admission.umontreal.ca/cours-et-horaires/cours/bin-3005/,BCM2003 ET IFT2015 et (BIO2041 ou MAT1978 ou STT1700)
IFT 1015,Programmation 1,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/ift-1015/,
IFT 1025,Programmation 2,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/ift-1025/,IFT1015 ou IFT1016
IFT 1065,Structures discrètes en informatique,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/ift-1065/,Collège 201-103-77 et 201-105-77.
IFT 2015,Structures de données,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/ift-2015/,IFT1025 et IFT1065
BCM 1501,Origine biochimique de la vie,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/bcm-1501/,
BCM 1503,Acides nucléiques et génétique 1,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/bcm-1503/,BCM1501
BCM 2002,T.P. de biologie moléculaire,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/bcm-2002/,BCM1503 et BCM1521
BCM 2004,Évolution moléculaire,2.0,https://admission.umontreal.ca/cours-et-horaires/cours/bcm-2004/,BCM1501 ET BCM1503
BCM 2502,Acides nucléiques et génétique 2,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/bcm-2502/,BCM1503 OU BIO1204
MAT 1400,Calcul 1,4.0,https://admission.umontreal.ca/cours-et-horaires/cours/mat-1400/,
MAT 1600,Algèbre linéaire,4.0,https://admission.umontreal.ca/cours-et-horaires/cours/mat-1600/,
BIO 2043,Statistique pratique pour sciences de la vie,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/bio-2043/,
MAT 1978,Probabilités et statistique,4.0,https://admission.umontreal.ca/cours-et-horaires/cours/mat-1978/,(IFT1063 OU IFT1065) ET MAT1400
