Sigle,Titre,Credit,url,Prerequisites
DMO 1000,Introduction à la démographie,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/dmo-1000/,
DMO 2311,Analyse longitudinale,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/dmo-2311/,
DMO 2312,Analyse transversale,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/dmo-2312/,DMO2311
DMO 3307,Pratique de la démographie,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/dmo-3307/,DMO2311
STD 3500,Laboratoire de démographie statistique,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/std-3500/,DMO2311 ET STT2400
STT 1700,Introduction à la statistique,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/stt-1700/,
STT 2000,Échantillonnage,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/stt-2000/,
STT 2400,Régression linéaire,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/stt-2400/,Préalable : MAT1600; Concomitant : STT2700
STT 2700,Concepts et méthodes en statistique,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/stt-2700/,Préalables : (MAT1720 ou MAT1978) et STT1700
DMO 2200,Sources de données,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/dmo-2200/,
SOL 3017,Méthodes de sondage,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/sol-3017/,SOL1020 OU PSY1004 OU STT1700 OU CRI1600 ou tout autre cours de premier cycle en méthodes quantitatives.
IFT 1969,Programmation scientifique en langage C,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/ift-1969/,Collège 201-203-77 et 201-105-77
MAT 1400,Calcul 1,4.0,https://admission.umontreal.ca/cours-et-horaires/cours/mat-1400/,
MAT 1600,Algèbre linéaire,4.0,https://admission.umontreal.ca/cours-et-horaires/cours/mat-1600/,
MAT 1720,Probabilités,4.0,https://admission.umontreal.ca/cours-et-horaires/cours/mat-1720/,
DMO 1100,Introduction à la démographie autochtone,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/dmo-1100/,
DMO 2100,Population canadienne contemporaine,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/dmo-2100/,
DMO 2170,Population et environnement,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/dmo-2170/,
DMO 2500,Enjeux en études de population,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/dmo-2500/,"Préalables : DMO 1000, DMO 2311 ; Concomitant : DMO 2312"
DMO 2700,Histoire des populations,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/dmo-2700/,
DMO 3100,Démographie des pays du Sud,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/dmo-3100/,
DMO 3150,Vieillissement des populations,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/dmo-3150/,Préalable : DMO 1000
DMO 3250,Démographie de la famille,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/dmo-3250/,"Préalables : DMO 1000, DMO 2200"
DMO 3400,Sociologie et population,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/dmo-3400/,
DMO 3420,Immigration et intégration,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/dmo-3420/,
DMO 3450,Économie et population,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/dmo-3450/,
DMO 3900,Informatique pour la démographie,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/dmo-3900/,"Préalables : DMO 1000, DMO 2200; Concomitants : DMO 2311, DMO 2312, SOL 1020"
STT 2105,Statistique bayésienne,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/stt-2105/,Préalable : STT2700 ; Concomitant : MAT2717
STT 2305,Analyse multivariée appliquée,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/stt-2305/,
