Sigle,Titre,Credit,url,Prerequisites
HST 1010,Histoire : fondements et méthodes,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/hst-1010/,
HST 2023,Introduction à la discipline historique,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/hst-2023/,24 crédits complétés.
HST 1031,Histoire de l'Antiquité,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/hst-1031/,
HST 1032,Histoire du Moyen Âge,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/hst-1032/,
HST 1041,L'Europe moderne,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/hst-1041/,
HST 1042,L'Europe contemporaine,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/hst-1042/,
HST 1043,Histoire des États-Unis,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/hst-1043/,
HST 1044,Introduction à l'Amérique latine,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/hst-1044/,
HST 1051,Histoire du Canada jusqu'en 1850,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/hst-1051/,
HST 1052,Histoire du Canada depuis 1850,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/hst-1052/,
HST 1053,Amérique du Nord autochtone,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/hst-1053/,
HST 1061,Histoire de la Chine depuis le 16e siècle,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/hst-1061/,
HST 1062,L'Asie du Sud-Est depuis 1500,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/hst-1062/,
HST 1070,Introduction aux mondes de l'islam,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/hst-1070/,
HST 1080,Histoire de l'Afrique,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/hst-1080/,
ARV 1050,Introduction à l'archivistique,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/arv-1050/,
ETM 3202,Initiation aux sources médiévales,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/etm-3202/,
HGL 1011,Initiation à l'archéologie grécoromaine,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/hgl-1011/,
HGL 2005,Méthodes de recherche en antiquité,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/hgl-2005/,
HGL 2422,Stage pratique en archéologie,6.0,https://admission.umontreal.ca/cours-et-horaires/cours/hgl-2422/,
HST 1015,Rédaction et pratique de l’histoire,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/hst-1015/,
HST 2001,Paléographie,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/hst-2001/,
HST 2007,Histoire numérique,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/hst-2007/,
HST 2013,Histoire et muséologie,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/hst-2013/,
HST 2070,Émergence du monde arabe contemporain,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/hst-2070/,
HST 2108,Rome : des origines aux Antonins,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/hst-2108/,
HST 2109,Rome : des Antonins à l'empire tardif,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/hst-2109/,
HST 2110,Grèce antique : des Minoens à Chéronée,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/hst-2110/,
HST 2111,L'Égypte et la Mésopotamie anciennes,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/hst-2111/,
HST 2113,Grèce antique : d'Alexandre à Auguste,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/hst-2113/,
HST 2125,Le Moyen Âge européen 5e - 10e siècle,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/hst-2125/,
HST 2126,Le Moyen Âge européen 10e - 15e siècle,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/hst-2126/,
HST 2128,Histoire religieuse du Moyen Âge,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/hst-2128/,
HST 2132,Histoire des croisades,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/hst-2132/,
HST 2139,Mondes nordiques médiévaux: Vikings et Celtes,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/hst-2139/,
HST 2212,Histoire de l'Union soviétique,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/hst-2212/,
HST 2246,"Pouvoirs, justice et justiciables d’Ancien Régime",3.0,https://admission.umontreal.ca/cours-et-horaires/cours/hst-2246/,
HST 2256,Histoire économique de l'Europe,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/hst-2256/,
HST 2262,La Grande-Bretagne depuis 1485,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/hst-2262/,
