Sigle,Titre,Credit,url,Prerequisites
MAT 1000,Analyse 1,4.0,https://admission.umontreal.ca/cours-et-horaires/cours/mat-1000/,
MAT 1400,Calcul 1,4.0,https://admission.umontreal.ca/cours-et-horaires/cours/mat-1400/,
MAT 1500,Mathématiques discrètes,4.0,https://admission.umontreal.ca/cours-et-horaires/cours/mat-1500/,
MAT 1600,Algèbre linéaire,4.0,https://admission.umontreal.ca/cours-et-horaires/cours/mat-1600/,
MAT 1720,Probabilités,4.0,https://admission.umontreal.ca/cours-et-horaires/cours/mat-1720/,
MAT 2717,Processus stochastiques,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/mat-2717/,Préalables : MAT1600 et (MAT1720 ou MAT1978)
STT 1700,Introduction à la statistique,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/stt-1700/,
ACT 1240,Mathématiques financières,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/act-1240/,
ACT 2243,Investissements,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/act-2243/,ACT1240
ACT 2250,Mathématiques de l'assurance-vie 1,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/act-2250/,ACT1240 ET MAT1720
ACT 3201,Régimes de retraite,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/act-3201/,ACT2250
ACT 3251,Théorie du risque,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/act-3251/,Préalable : MAT1720
STT 2400,Régression linéaire,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/stt-2400/,Préalable : MAT1600; Concomitant : STT2700
STT 2700,Concepts et méthodes en statistique,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/stt-2700/,Préalables : (MAT1720 ou MAT1978) et STT1700
IFT 1015,Programmation 1,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/ift-1015/,
IFT 1174,"Chiffrier, bases de données et programmation VBA",3.0,https://admission.umontreal.ca/cours-et-horaires/cours/ift-1174/,
STT 1682,Progiciels statistiques en actuariat,1.0,https://admission.umontreal.ca/cours-et-horaires/cours/stt-1682/,
ACT 2241,Produits dérivés et gestion de risque,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/act-2241/,ACT1240
ACT 2242,Finance corporative,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/act-2242/,ACT1240
ACT 2251,Mathématiques de l'assurance-vie 2,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/act-2251/,Préalable : ACT2250
ACT 2284,Mathématiques de l'assurance IARD,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/act-2284/,Préalables : ACT3251 et STT2700
ACT 3230,Finance mathématique,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/act-3230/,Préalables : ACT2241 et MAT2717
ACT 3253,Gestion des risques,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/act-3253/,Préalables : ACT2250 et ACT3251.
ACT 3261,Modélisation prédictive,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/act-3261/,Préalable : ACT3251.; Concomitant : STT3790.
ACT 3281,Laboratoire d'actuariat,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/act-3281/,ACT2250 ET ACT3251
ACT 3282,Laboratoire de mathématiques financières,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/act-3282/,
ACT 4000,Mémoire de fin d’études,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/act-4000/,Préalable : 57 crédits complétés dans le baccalauréat en mathématiques 1-190-1-0 avec une moyenne cumulative supérieure à 3.3.
MAT 2000,Stage 1,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/mat-2000/,
