Sigle,Titre,Credit,url,Prerequisites
PHI 1005,Logique 1,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/phi-1005/,
PHI 1430,Éthique et politique,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/phi-1430/,
PHI 1520,Introduction à la métaphysique,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/phi-1520/,
PHI 1600,Introduction à la philosophie moderne,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/phi-1600/,
PHI 1710,"Langage, pensée et connaissance",3.0,https://admission.umontreal.ca/cours-et-horaires/cours/phi-1710/,
PHI 1800,Des présocratiques à Aristote,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/phi-1800/,
PHI 2800,Platon,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/phi-2800/,
PHI 2805,La République de Platon,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/phi-2805/,
PHI 2810,Aristote,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/phi-2810/,
PHI 2820,Philosophie hellénistique,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/phi-2820/,
PHI 1860,Introduction à la philosophie médiévale,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/phi-1860/,
PHI 2865,Auteurs médiévaux (5e - 12e siècles),3.0,https://admission.umontreal.ca/cours-et-horaires/cours/phi-2865/,
PHI 2870,Auteurs médiévaux (13e - 15e siècles),3.0,https://admission.umontreal.ca/cours-et-horaires/cours/phi-2870/,
PHI 2615,Philosophie des Lumières,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/phi-2615/,
PHI 2650,Kant : Critique de la raison pure,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/phi-2650/,
PHI 2670,L'empirisme moderne,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/phi-2670/,
PHI 1205,Philosophie française contemporaine,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/phi-1205/,
PHI 1255,Introduction à la philosophie de l'art,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/phi-1255/,
PHI 2195,Idéalisme allemand,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/phi-2195/,
PHI 2205,La phénoménologie de Husserl,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/phi-2205/,
PHI 2210,Théorie critique,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/phi-2210/,
PHI 2215,Le post-structuralisme en France,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/phi-2215/,
PHI 2220,Philosophie de la perception,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/phi-2220/,
PHI 2225,Théories philosophiques de la conscience,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/phi-2225/,
PHI 2255,Théories esthétiques,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/phi-2255/,
PHI 1400,Problèmes en éthique,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/phi-1400/,
PHI 2405,Théories éthiques modernes,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/phi-2405/,
PHI 2406,Théories éthiques contemporaines,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/phi-2406/,
