Sigle,Titre,Credit,url,Prerequisites
POL 1000,Fondements de science politique,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-1000/,
POL 1008,Forces et comportements politiques,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-1008/,
POL 1009,Politique comparée,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-1009/,
POL 1020,"Politique au Québec, au Canada",3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-1020/,
POL 1025,Politique et économie,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-1025/,
POL 1100,Méthodes de recherche en politique,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-1100/,
POL 1200,Pensée politique,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-1200/,
POL 1330,Administration et politiques publiques,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-1330/,
POL 1600,Relations internationales,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-1600/,
POL 1803,Introduction à l'analyse quantitative,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-1803/,
POL 2112,Méthodes d'analyse de contenu en science politique,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-2112/,
POL 2120,Méthodes qualitatives,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-2120/,
POL 2215,Méthodes de sondages en science politique,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-2215/,
POL 2282,Épistémologie de la science politique,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-2282/,PEP1000 ou POL1000
POL 2809,Méthodes quantitatives d'analyse,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-2809/,
POL 2829,Évaluation des politiques publiques,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-2829/,
POL 2839,Les techniques de l'analyse politique,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-2839/,
POL 2849,Les méthodes expérimentales en science politique,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-2849/,
POL 2007,Institutions politiques comparées,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-2007/,
POL 2011,Sécurité et conflits,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-2011/,
POL 2050,Représentation politique,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-2050/,
POL 2090,Pensée politique prémoderne,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-2090/,
POL 2100,Pensée politique moderne,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-2100/,
POL 2101,Communication politique,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-2101/,
POL 2102,Pensée politique contemporaine,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-2102/,
POL 2111,L'État et l'économie,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-2111/,
POL 2140,Analyse de politiques,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-2140/,
POL 2180,Pensée politique critique,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-2180/,PEP1000 OU POL1000
POL 2210,Participation et politique publique,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-2210/,
POL 2250,Systèmes internationaux : 19e - 20e siècles,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-2250/,
POL 2321,Politique et administration,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-2321/,
POL 2403,Immigration et multiculturalisme,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-2403/,
POL 2404,Nationalisme,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-2404/,
POL 2510,Les organisations internationales,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-2510/,
POL 2560,Action collective et politique,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-2560/,
POL 2602,Théories de politique étrangère comparée,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-2602/,Préalable : PEP1000 ou POL1000
POL 2606,Économie politique internationale,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-2606/,
POL 2802,Théories du développement,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-2802/,
POL 2806,Théories des relations internationales,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-2806/,PEP1000 OU POL1000
POL 2808,Théories politiques empiriques,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-2808/,
POL 2859,Opinion publique,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-2859/,
POL 3004,Contrôle des armements,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-3004/,
POL 3005,Sociopolitique des conflits armés,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-3005/,
POL 3006,Le leadership politique,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-3006/,
POL 3007,Résolution des conflits,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-3007/,
POL 3008,Sécurité en Asie de l'Est,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-3008/,
POL 3009,Politique et société au Moyen-Orient,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-3009/,
POL 3010,Les relations Nord-Sud,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-3010/,
POL 3011,Relations internationales de l'Asie du Sud-Est,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-3011/,
POL 3013,Politique de l'Internet,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-3013/,
POL 3015,Les élections,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-3015/,
